"timetocompletesurvey","Pseudonym","gender","Age","Familienstand","Children","AnzahlKinder","NoInstrument","ImChoraktiv","PrivaterMusikunterricht","ConsumptionRadio","ConsumptionPhysical","ConsumptionDigital","ConsumptionFreeStreaming","ConsumptionPremiumStreaming","ConsumptionOnlineRadio","ConsumptionLive","ActiveListening","AktiveSuchenachneuerMusik","MusicAppreciation","Spending_CD_Albums","Spending_CD_Singles","Spending_Music_DVD","Spending_Vinyl","Spending_DigitaleAlbums","Spending_DigitalTracks","Spending_Stream","Spending_OtherAbos","Warumamhäufigstengekauft","datetimeofsurveystart","dateoflastaccess","panel","Bildung","Beschäftigung","IncomeRaw","No_Mainstream_7Likert","Spending_Concerts","Spending_Festivals","Spending_ClubConcerts","Spending_DeluxeBoxes","Livestream_WTP","Winter2018_19","Summer2019","Winter2019_20","Summer2020","Winter2020_21","Consumption_Live","Consumption_Rec","s_Consumption_Physical_R","s_Consumption_PremiumStream_R","s_Consumption_FreeStream_R","s_Consumption_Digital_R","s_Consumption_Radio_R","s_Consumption_OnlineRadio_R","s_Consumption_R","s_No_Consumption_R","Consumption_Total","No_Consumption","ln_Consumption_Total","ln_Consumption_Rec","ln_Consumption_Live","Outlier_Consumption","Outlier_Consumption_Panel","Spending_Physical","Spending_Digital","Spending_Streaming","Spending_Rec","Spending_Live","s_Spending_Physical_R","s_Spending_Digital_R","s_Spending_Streaming_R","Spending_Total","No_Spending","ln_Spending_Total","ln_Spending_Rec","ln_Spending_Live","s_Spending_R","s_No_Spending_R","Outlier_Spending","Outlier_Spending_Panel","Corona","Summer","Winter","PurchaseReason_Atmosphere","PurchaseReason_Flexibility","PurchaseReason_Habit","PurchaseReason_None","PurchaseReason_Mobility","PurchaseReason_Other","PurchaseReason_SoundQuality","MaritalStat_LivAlone","MaritalStat_LivAlone_Partner","MaritalStat_LivTogether_Partner","MaritalStatus","Education_HighSchool","Education_Bachelor","Education_TechnicalDiploma","Education_Elementary","Education_NoneDegree","Education_Master","Education_MiddleSchool","Education_PhD","Education","GenderOther","GenderMale","GenderFemale","Occupation_Employed","Occupation_Apprenticeship","Occupation_Household","Occupation_None","Occupation_School","Occupation_Selfemployed","Occupation_Other","Occupation_University","Occupation","MainstreamMusic","Playinstrument","MusicEducation","Income","Income_Mean","IncomeImputation","ln_Income","MusicAppreciation_Mean","MusicAppreciationImputation","Outlier_Missing","Outlier_Missing_Panel","Number_Waves"
1144,3457553595920,"weiblich",62,"in einer festen Partnerschaft zusammenlebend",1,1,1,0,0,30,0,0,0,0,0,0,1,"Nein",1,0,0,0,0,0,0,0,0,"Atmosphäre","2019-01-29","2019-01-29",2,"Fachhochschulreife","Hausmann / Hausfrau","1.001 Euro bis 1.500 Euro",7,0,0,0,0,0,1,0,0,0,0,0,30,0,0,0,0,1,0,1,0,30,0,3.43398720448515,3.43398720448515,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1250,850,1250,7.13089883029635,1,1,0,0,5
908,3991116331280,"männlich",53,"allein lebend UND in einer festen Partnerschaft",1,3,0,0,0,30,50,0,0,0,0,0,2,"Ja",7,75,0,10,0,0,0,0,0,"Sonstiges","2019-01-29","2019-01-29",2,"Bachelor","Selbständige/r","1.501 Euro bis 2.000 Euro",4,0,0,0,15,0,1,0,0,0,0,0,80,0.625,0,0,0,0.375,0,1,0,80,0,4.39444915467244,4.39444915467244,0,0,0,100,0,0,100,0,1,0,0,100,0,4.61512051684126,4.61512051684126,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,3,4,1,1,1750,1750,1750,7.46737106691756,6.8,7,0,0,5
723,3857054643840,"männlich",56,"allein lebend",0,0,1,0,1,14,2,8,1,10,10,0,3,"Nein",6,0,0,0,0,20,0,20,0,"Soundqualität","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Angestellte/r","2.001 Euro bis 2.500 Euro",4,0,0,0,0,0,1,0,0,0,0,0,45,0.0444444444444444,0.222222222222222,0.0222222222222222,0.177777777777778,0.311111111111111,0.222222222222222,1,0,45,0,3.8286413964891,3.8286413964891,0,0,0,0,20,20,40,0,0,0.5,0.5,40,0,3.71357206670431,3.71357206670431,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,4,0,1,2250,2250,2250,7.71868549519847,6.6,6,0,0,5
860,3917779051600,"weiblich",45,"allein lebend",0,0,1,0,1,40,0,0,0,0,0,0,1,"Nein",3,0,0,0,0,0,0,0,0,"ich kaufe keine Musik","2019-01-29","2019-01-29",2,"Abitur","Angestellte/r","2.501 Euro bis 3.000 Euro",2,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,1,0,1,0,40,0,3.71357206670431,3.71357206670431,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,6,0,1,2750,3050,2750,7.91935619066062,1.4,3,0,0,5
604,3935184195760,"männlich",51,"in einer festen Partnerschaft zusammenlebend",0,0,1,0,1,1,0,1,0,1,0,0,4,"Ja",4,0,0,0,0,0,0,15,0,"ich kaufe keine Musik","2019-01-29","2019-01-29",2,"Abitur","Angestellte/r","2.501 Euro bis 3.000 Euro",3,0,0,0,0,0,1,0,0,0,0,0,3,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,1,0,3,0,1.38629436111989,1.38629436111989,0,0,0,0,0,15,15,0,0,0,1,15,0,2.77258872223978,2.77258872223978,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,5,0,1,2750,3950,2750,7.91935619066062,2.6,4,0,0,5
496,3403302851840,"männlich",24,"allein lebend",0,0,0,0,1,0,4,10,5,0,0,0,4,"Ja",2,0,0,0,0,0,0,0,0,"ich kaufe keine Musik","2019-01-29","2019-01-29",2,"Abitur","Studierende/r","4.001 Euro bis 4.500 Euro",4,0,0,0,0,0,1,0,0,0,0,0,19,0.210526315789474,0,0.263157894736842,0.526315789473684,0,0,1,0,19,0,2.99573227355399,2.99573227355399,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,4,1,2,4250,4050,4250,8.35467426191846,4,2,0,0,5
2966,3582567315520,"männlich",41,"in einer festen Partnerschaft zusammenlebend",0,0,0,0,0,40,0,10,0,10,10,0,2,"Ja",5,0,0,0,15,0,0,10,0,"Atmosphäre","2019-01-29","2019-01-29",2,"Abitur","Angestellte/r","2.001 Euro bis 2.500 Euro",6,70,0,0,0,0,1,0,0,0,0,0,70,0,0.142857142857143,0,0.142857142857143,0.571428571428571,0.142857142857143,1,0,70,0,4.26267987704132,4.26267987704132,0,0,0,15,0,10,25,70,0.6,0,0.4,95,0,4.56434819146784,3.25809653802148,4.26267987704132,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,2,1,1,2250,2350,2250,7.71868549519847,5,5,0,0,5
929,3651358835680,"weiblich",41,"in einer festen Partnerschaft zusammenlebend",0,0,0,0,1,8,0,1,1,0,0,0,1,"Nein",5,0,0,0,0,0,2,0,0,"Flexibilität","2019-01-29","2019-01-29",2,"Master / Diplom / Magister / Staatsexamen","Selbständige/r","1.501 Euro bis 2.000 Euro",4,25,0,0,0,0,1,0,0,0,0,0,10,0,0,0.1,0.1,0.8,0,1,0,10,0,2.39789527279837,2.39789527279837,0,0,0,0,2,0,2,25,0,1,0,27,0,3.3322045101752,1.09861228866811,3.25809653802148,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,3,4,1,2,1750,2450,1750,7.46737106691756,5.4,5,0,0,5
786,3827577971600,"weiblich",48,"in einer festen Partnerschaft zusammenlebend",0,0,0,1,1,24,14,7,0,0,10,3,4,"Ja",6,0,0,0,0,0,0,0,0,"Sonstiges","2019-01-29","2019-01-29",2,"Abitur","Angestellte/r","2.001 Euro bis 2.500 Euro",5,0,0,0,0,0,1,0,0,0,0,3,55,0.254545454545455,0,0,0.127272727272727,0.436363636363636,0.181818181818182,1,0,58,0,4.07753744390572,4.02535169073515,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,3,1,2,2250,2750,2250,7.71868549519847,6.8,6,0,0,5
1688,3890138987600,"männlich",40,"in einer festen Partnerschaft zusammenlebend",1,2,0,0,1,25,0,50,0,0,0,0,1,"Ja",7,0,0,0,0,0,0,0,0,"Sonstiges","2019-01-29","2019-01-29",2,"Mittlere Reife / Realschulabschluss","Angestellte/r","501 Euro bis 1.000 Euro",6,0,0,0,0,0,1,0,0,0,0,0,75,0,0,0,0.666666666666667,0.333333333333333,0,1,0,75,0,4.33073334028633,4.33073334028633,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,2,1,2,750,2250,750,6.62007320653036,6.6,7,0,0,5
