timetocompletesurvey,Pseudonym,Geschlecht,Alter,Familienstand,Kinder,AnzahlKinder,keins,ImChoraktiv,PrivaterMusikunterricht,Stdgehört7TageHerkömmli,Stdgehört7TagePhysische,Stdgehört7TageAufIhren,Stdgehört7TageKostenlos,Stdgehört7Tagekostenpfl,Stdgehört7TageOnlineRa,Stdgehört7TageLiveMusi,WennichMusikhöremacheichni,AktiveSuchenachneuerMusik,Musikistmirimmeretwaswert,CDAlbenAusgaben30Tage,CDSinglesAusgaben30Tage,MusikDVDsBluRaysAusgaben3,VinylAlbenAusgaben30Tage,KostenpflichtigedigitaleAlbum,KostenpflichtigedigitaleTrack,DigitaleMusikAboServicesPau,SonstigedigitaleMusikAboServ,Warumamhäufigstengekauft,datetimeofsurveystart,dateoflastaccess,panel,Bildung,Beschäftigung,Haushaltseinkommen,No_Mainstream_7Likert,KonzerteLiveMusikEventsAus,FestivalsLiveMusikEventsAu,ClubKonzerteLiveMusikEvents,DeluxeBoxenMusikproduktMer,Livestream_WTP
3866,3725575251680,männlich,65,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,10,0,1,2,0,2,0,4,Ja,4,0,0,0,0,0,0,0,0,Gewohnheit,2019-01-29,2019-01-29,2,Hauptschulabschluss,Sonstiges,2.001 Euro bis 2.500 Euro,6,0,0,0,0,
953,3247890499680,männlich,56,allein lebend,nein,,quoted,Nein,Nein,10,4,2,0,5,6,0,3,Ja,4,10,0,0,0,0,0,10,0,Soundqualität,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,4,30,25,0,0,
515,3806951307200,männlich,42,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,1,0,0,0,0,8,0,4,Ja,6,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Abitur,Angestellte/r,501 Euro bis 1.000 Euro,5,0,0,0,0,
1144,3457553595920,weiblich,62,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,30,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Fachhochschulreife,Hausmann / Hausfrau,1.001 Euro bis 1.500 Euro,7,0,0,0,0,
908,3991116331280,männlich,53,allein lebend UND in einer festen Partnerschaft,ja,3,not quoted,Nein,Nein,30,50,0,0,0,0,0,2,Ja,7,75,0,10,0,0,0,0,0,Sonstiges,2019-01-29,2019-01-29,2,Bachelor,Selbständige/r,1.501 Euro bis 2.000 Euro,4,0,0,0,15,
737,3565802099280,weiblich,42,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,2,1,1,0,0,0,0,1,Nein,1,0,0,0,0,0,,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Abitur,Angestellte/r,501 Euro bis 1.000 Euro,7,30,0,0,0,
788,3322677315200,männlich,24,allein lebend,nein,,not quoted,Nein,Ja,2,0,0,8,0,0,8,4,Ja,5,0,0,0,0,0,0,0,0,Atmosphäre,2019-01-29,2019-01-29,2,Abitur,Auszubildende/r,501 Euro bis 1.000 Euro,7,0,0,60,0,
723,3857054643840,männlich,56,allein lebend,nein,,quoted,Nein,Ja,14,2,8,1,10,10,0,3,Nein,6,0,0,0,0,20,0,20,0,Soundqualität,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
860,3917779051600,weiblich,45,allein lebend,nein,,quoted,Nein,Ja,40,0,0,0,0,0,0,1,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Abitur,Angestellte/r,2.501 Euro bis 3.000 Euro,2,0,0,0,0,
1931,3805784619840,männlich,55,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Ja,12,2,4,4,2,4,0,4,Ja,4,0,0,0,0,5,5,10,0,Soundqualität,2019-01-29,2019-01-29,2,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.001 Euro bis 3.500 Euro,5,0,0,0,0,
604,3935184195760,männlich,51,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,1,0,1,0,1,0,0,4,Ja,4,0,0,0,0,0,0,15,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Abitur,Angestellte/r,2.501 Euro bis 3.000 Euro,3,0,0,0,0,
630,3243928899920,männlich,24,allein lebend,nein,,quoted,Nein,Nein,7,0,0,2,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,2,0,0,0,0,
496,3403302851840,männlich,24,allein lebend,nein,,not quoted,Nein,Ja,0,4,10,5,0,0,0,4,Ja,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,2019-01-29,2019-01-29,2,Abitur,Studierende/r,4.001 Euro bis 4.500 Euro,4,0,0,0,0,
